node,ARBid,old.pa.node,old.ARBname,Genbank.ID,clade,RDP.taxonomy,Kingdom,Phylum,Order,Family,Genus,Species,Strain
0,UncM5907,1716,UncM9980,EU650264,Thermoplasmata,"Archaea;""Euryarchaeota"";Thermoplasmata;unclassified_Thermoplasmata;",Archaea,Euryarchaeota,Thermoplasmata,unclassified_Thermoplasmata,,,
1,Unc028bj,1695,Unc04iu2,AF356633,Archaea,"Archaea;""Euryarchaeota"";Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;",Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,
2,Unc01raf,1736,Unc03ul8,FJ640802,Archaea,Archaea;unclassified_Archaea;,Archaea,unclassified_Archaea,,,,,
3,Unc0289v,1694,Unc04j2n,EF586031,Bacteria,"Bacteria;""Thermotogae"";Thermotogae;Petrotogales;Petrotogaceae;Defluviitoga;",Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,
4,OlnTmbo7,1600,OlsUmbo5,AJ251324,Bacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Coriobacteridae;Coriobacteriales;""Coriobacterineae"";Coriobacteriaceae;Olsenella;",Bacteria,"""Actinobacteria""",Actinobacteria,Coriobacteridae,Coriobacteriales,"""Coriobacterineae""",Coriobacteriaceae;Olsenella;
2702,Intnode,,,,,,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
2703,UncM6025,617,UncM3809,DQ009467,Gammaproteobacteria,"Bacteria;""Proteobacteria"";Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,,,,
2704,UncM5846,619,UncM9994,DQ009424,Gammaproteobacteria,"Bacteria;""Proteobacteria"";Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,,,,
2705,UncM5912,620,DQ906724.1,DQ906724,Gammaproteobacteria,"Bacteria;""Proteobacteria"";Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,,,,
2706,UncG2509,621,AY726915.1,AY726915,Gammaproteobacteria,"Bacteria;""Proteobacteria"";Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,,,,
2707,Intnode,,,,,,Bacteria,Proteobacteria,,,,,
2708,Intnode,,,,,,Bacteria,Proteobacteria,,,,,
2709,UncM5839,618,UncM9987,DQ009126,Gammaproteobacteria,"Bacteria;""Proteobacteria"";Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,,,,
2710,Intnode,,,,,,Bacteria,Proteobacteria,,,,,
2711,Intnode,,,,,,Bacteria,Proteobacteria,,,,,
2712,Unc31717,683,Unc40686,AF382132,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2713,UncGa755,678,UncGa590,AF406533,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2714,Unc0283f,680,Unc04iuh,EF572822,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2715,Unc0283h,679,Unc04iuj,EF575156,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2716,Intnode,,,,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2717,Intnode,,,,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2718,Intnode,,,,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2719,UncM5836,654,UncM9984,AY552545,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2720,Unc02834,650,Unc04iu6,AF382123,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2721,UncG2513,656,UncG1458,AY033311,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2722,UncGa865,657,UncG1465,AY033304,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2723,UncGa990,658,UncG1463,AY033326,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2724,UncG2517,659,UncG1466,AY033314,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2725,Intnode,,,,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2726,Intnode,,,,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2727,Intnode,,,,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2728,UncGa959,663,UncG1459,AY033317,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2729,UncGa594,668,UncGa555,AF245642,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2730,UncG2492,667,UncG3473,AF406534,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2731,Intnode,,,,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2732,UncM5835,664,UncM9983,AJ400345,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
2733,UncP2046,665,UncP2806,AF001650,SAR86 clade,"Bacteria;""Proteobacteria"";Gammaproteobacteria;unclassified_Gammaproteobacteria;",Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,,
